Country Name,Country Code,Indicator Name,Indicator Code,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,,2720.914,2717.247,2823.59,2658.575,2629.239,2508.228,2500.894,1349.456,861.745,872.746,898.415,883.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2720.914,2717.247,2823.59,2658.575,2629.239,2508.228,2500.894,1349.456,861.745,872.746,898.415,883.747
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,,1327.454,1650.15,2273.54,4206.049,6769.282,8463.436,12240.446,10755.311,9050.156,8467.103,9035.488,8672.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1327.454,1650.15,2273.54,4206.049,6769.282,8463.436,12240.446,10755.311,9050.156,8467.103,9035.488,8672.455
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,,19156.408,22266.024,25151.953,25709.337,27792.193,29057.308,30586.447,34176.44,33692.396,44851.077,34583.477,34693.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19156.408,22266.024,25151.953,25709.337,27792.193,29057.308,30586.447,34176.44,33692.396,44851.077,34583.477,34693.487
Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,,4253.72,3898.021,3927.357,4374.731,4378.398,4598.418,5240.143,4924.781,4913.78,5489.499,4616.753,4536.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4253.72,3898.021,3927.357,4374.731,4378.398,4598.418,5240.143,4924.781,4913.78,5489.499,4616.753,4536.079
Andorra,AND,CO2 emissions (kt),EN.ATM.CO2E.KT,,575.719,546.383,539.049,539.049,517.047,517.047,491.378,487.711,476.71,462.042,465.709,469.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.719,546.383,539.049,539.049,517.047,517.047,491.378,487.711,476.71,462.042,465.709,469.376
Arab World,ARB,CO2 emissions (kt),EN.ATM.CO2E.KT,,1318939.226,1382459,1360284.651,1491783.271,1581643.106,1643369.717,1660509.275,1841219.035,1823115.056,1932296.314,1953773.933,1904104.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318939.226,1382459,1360284.651,1491783.271,1581643.106,1643369.717,1660509.275,1841219.035,1823115.056,1932296.314,1953773.933,1904104.418
United Arab Emirates,ARE,CO2 emissions (kt),EN.ATM.CO2E.KT,,116071.551,123728.247,135554.322,157167.62,168274.963,158623.419,171626.601,219792.646,220713.063,226143.89,194765.371,206323.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116071.551,123728.247,135554.322,157167.62,168274.963,158623.419,171626.601,219792.646,220713.063,226143.89,194765.371,206323.755
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,,162110.736,175436.614,175176.257,189107.19,179961.692,187904.414,191622.752,193027.213,193701.941,195777.463,201167.953,201347.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162110.736,175436.614,175176.257,189107.19,179961.692,187904.414,191622.752,193027.213,193701.941,195777.463,201167.953,201347.636
Armenia,ARM,CO2 emissions (kt),EN.ATM.CO2E.KT,,4349.062,4378.398,5056.793,5551.838,4360.063,4209.716,4917.447,5694.851,5496.833,5529.836,4803.77,5155.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4349.062,4378.398,5056.793,5551.838,4360.063,4209.716,4917.447,5694.851,5496.833,5529.836,4803.77,5155.802
Antigua and Barbuda,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,,429.039,443.707,469.376,480.377,509.713,524.381,513.38,524.381,524.381,528.048,546.383,557.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.039,443.707,469.376,480.377,509.713,524.381,513.38,524.381,524.381,528.048,546.383,557.384
