name,code,pop
Aruba,ABW,883.747
Afghanistan,AFG,8672.455
Angola,AGO,34693.487
Albania,ALB,4536.079
Andorra,AND,469.376
Arab World,ARB,1904104.418
United Arab Emirates,ARE,206323.755
Argentina,ARG,201347.636
Armenia,ARM,5155.802
American Samoa,ASM,
Antigua and Barbuda,ATG,557.384
Australia,AUS,375907.837
Austria,AUT,61447.919
Azerbaijan,AZE,37619.753
Burundi,BDI,495.045
Belgium,BEL,96889.474
Benin,BEN,6475.922
Burkina Faso,BFA,3417.644
Bangladesh,BGD,84245.658
Bulgaria,BGR,41708.458
Bahrain,BHR,31693.881
"Bahamas, The",BHS,1785.829
Bosnia and Herzegovina,BIH,21847.986
Belarus,BLR,58279.631
Belize,BLZ,568.385
Bermuda,BMU,612.389
Bolivia,BOL,21605.964
Brazil,BRA,462298.69
Barbados,BRB,1276.116
Brunei Darussalam,BRN,7664.03
Bhutan,BTN,1261.448
Botswana,BWA,6340.243
Central African Republic,CAF,297.027
Canada,CAN,544894.198
Central Europe and the Baltics,CEB,656858.709
Switzerland,CHE,34477.134
Channel Islands,CHI,
Chile,CHL,85822.468
China,CHN,9893037.952
Cote d'Ivoire,CIV,9673.546
Cameroon,CMR,8291.087
"Congo, Dem. Rep.",COD,2020.517
"Congo, Rep.",COG,3281.965
Colombia,COL,97813.558
Comoros,COM,201.685
Cabo Verde,CPV,542.716
Costa Rica,CRI,8023.396
Caribbean small states,CSS,61722.944
Cuba,CUB,28283.571
Curacao,CUW,5390.49
Cayman Islands,CYM,546.383
Cyprus,CYP,6626.269
Czech Republic,CZE,102217.625
Germany,DEU,727972.84
Djibouti,DJI,619.723
Dominica,DMA,179.683
Denmark,DNK,31785.556
Dominican Republic,DOM,25258.296
Algeria,DZA,150005.969
East Asia & Pacific (excluding high income),EAP,11421388.28
Early-demographic dividend,EAR,7422679.061
East Asia & Pacific,EAS,13955922.02
Europe & Central Asia (excluding high income),ECA,2979371.494
Europe & Central Asia,ECS,6269012.208
Ecuador,ECU,41154.741
"Egypt, Arab Rep.",EGY,238560.352
Euro area,EMU,2228500.891
Eritrea,ERI,711.398
Spain,ESP,244002.18
Estonia,EST,16589.508
Ethiopia,ETH,14869.685
European Union,EUU,2881620.536
Fragile and conflict affected situations,FCS,738491.9679
Finland,FIN,45870.503
Fiji,FJI,2046.186
France,FRA,
Faroe Islands,FRO,630.724
"Micronesia, Fed. Sts.",FSM,143.013
Gabon,GAB,5320.817
United Kingdom,GBR,379024.787
Georgia,GEO,10128.254
Ghana,GHA,16670.182
Gibraltar,GIB,634.391
Guinea,GIN,2995.939
"Gambia, The",GMB,531.715
Guinea-Bissau,GNB,293.36
Equatorial Guinea,GNQ,5654.514
Greece,GRC,62434.342
Grenada,GRD,267.691
Greenland,GRL,509.713
Guatemala,GTM,16776.525
Guam,GUM,
Guyana,GUY,2383.55
High income,HIC,12669524.37
"Hong Kong SAR, China",HKG,43644.634
Honduras,HND,9812.892
Heavily indebted poor countries (HIPC),HPC,204424.249
Croatia,HRV,17487.923
Haiti,HTI,2977.604
Hungary,HUN,45536.806
IBRD only,IBD,20735704.23
IDA & IBRD total,IBT,21601125.13
IDA total,IDA,860923.1861
IDA blend,IDB,465496.314
Indonesia,IDN,563324.54
IDA only,IDX,393950.1567
Isle of Man,IMN,
India,IND,2407671.526
Not classified,INX,
Ireland,IRL,37711.428
"Iran, Islamic Rep.",IRN,661710.15
Iraq,IRQ,190060.61
Iceland,ISL,2064.521
Israel,ISR,65166.257
Italy,ITA,
Jamaica,JAM,8225.081
Jordan,JOR,25107.949
Japan,JPN,1135886.253
Kazakhstan,KAZ,247207.138
Kenya,KEN,17909.628
Kyrgyz Republic,KGZ,9787.223
Cambodia,KHM,9919.235
Kiribati,KIR,66.006
St. Kitts and Nevis,KNA,238.355
"Korea, Rep.",KOR,620302.386
Kuwait,KWT,98733.975
Latin America & Caribbean (excluding high income),LAC,1657513.336
Lao PDR,LAO,17762.948
Lebanon,LBN,24796.254
Liberia,LBR,1386.126
Libya,LBY,50564.263
St. Lucia,LCA,414.371
Latin America & Caribbean,LCN,1836828.167
Least developed countries: UN classification,LDC,329491.0024
Low income,LIC,168202.9737
Liechtenstein,LIE,51.338
Sri Lanka,LKA,23362.457
Lower middle income,LMC,4229048.424
Low & middle income,LMY,21122439.33
Lesotho,LSO,2511.895
Late-demographic dividend,LTE,14680565.35
Lithuania,LTU,12962.845
Luxembourg,LUX,8987.817
Latvia,LVA,7003.97
"Macao SAR, China",MAC,2068.188
St. Martin (French part),MAF,
Morocco,MAR,61275.57
Monaco,MCO,
Moldova,MDA,5115.465
Madagascar,MDG,3905.355
Maldives,MDV,1444.798
Middle East & North Africa,MEA,2608736.803
Mexico,MEX,486405.548
Marshall Islands,MHL,143.013
Middle income,MIC,20947563.41
North Macedonia,MKD,7051.641
Mali,MLI,3179.289
Malta,MLT,1342.122
Myanmar,MMR,25280.298
Middle East & North Africa (excluding high income),MNA,1475311.107
Montenegro,MNE,2016.85
Mongolia,MNG,25368.306
Northern Mariana Islands,MNP,
Mozambique,MOZ,7942.722
Mauritania,MRT,2739.249
Mauritius,MUS,4349.062
Malawi,MWI,1298.118
Malaysia,MYS,248288.903
North America,NAC,5551808.664
Namibia,NAM,4228.051
New Caledonia,NCL,5328.151
Niger,NER,2016.85
Nigeria,NGA,120369.275
Nicaragua,NIC,5592.175
Netherlands,NLD,170779.524
Norway,NOR,41022.729
Nepal,NPL,9105.161
Nauru,NRU,47.671
New Zealand,NZL,34381.792
OECD members,OED,12004051.89
Oman,OMN,63457.435
Other small states,OSS,208033.0127
Pakistan,PAK,201149.618
Panama,PAN,10714.974
Peru,PER,57414.219
Philippines,PHL,122287.116
Palau,PLW,223.687
Papua New Guinea,PNG,7535.685
Poland,POL,299036.516
Pre-demographic dividend,PRE,505151.0624
Puerto Rico,PRI,
"Korea, Dem. People’s Rep.",PRK,28283.571
Portugal,PRT,48741.764
Paraguay,PRY,7407.34
West Bank and Gaza,PSE,3234.294
Pacific island small states,PSS,3369.973
Post-demographic dividend,PST,10949758.47
French Polynesia,PYF,770.07
